alt_slug;unser_slug;gemeinde;an_der
adorf;adorfvogtl;(nicht als Gemeinde – evtl. Kürzel/Redirect);
altdorf-nuernberg;altdorf-bei-nuernberg;Altdorf bei Nürnberg;
altendorf-sebnitz;altenberg;Altenberg;
altenkirchen-westerwald;altenkirchen-07132501;Altenkirchen;
amberg-oberpfalz;amberg-09361000;Amberg;
artern-unstrut;artern;Artern;
asbach-westerwald;asbach;Asbach;
auerbach-vogtland;auerbachvogtl;(nicht als Gemeinde – evtl. Kürzel/Redirect);
bad-griesbach-rottal;bad-griesbach-im-rottal;(nicht als Gemeinde – evtl. Kürzel/Redirect);
bad-homburg;bad-homburg-vor-der-hoehe;Bad Homburg vor der Höhe;ja
bad-koenigshofen-grabfeld;bad-koenigshofen-im-grabfeld;Bad Königshofen im Grabfeld;
bad-neustadt-saale;bad-neustadt-an-der-saale;Bad Neustadt an der Saale;ja
barendorf-grevesmuehlen;barendorf;Barendorf;
bergen-celle;bergen-03351004;Bergen;
bergheim-erft;bergheim;Bergheim;
bernburg-saale;bernburg;Bernburg;
birkenfeld-nahe;birkenfeld-07134010;Birkenfeld;
boizenburg;gallin;Gallin;
borken-westfalen;borken;Borken;
brake-unterweser;brake;Brake;
bremen-stadt;bremen;Bremen;
buchen-odenwald;buchen;Buchen;
burg-magdeburg;burg;Burg;
burgdorf-hannover;burgdorf;Burgdorf;
damm-parchim;damm;Damm;
damme-duemmer;damme;Damme;
demmin-hansestadt;demmin;Demmin;
dillingen-donau;dillingen-an-der-donau;Dillingen an der Donau;ja
dobritz;doebritz;Döbritz;
ehingen-donau;ehingen-08425033;Ehingen;
eisenach-thueringen;eisenach-16056000;Eisenach;
eisenberg-pfalz;eisenberg-07333019;Eisenberg;
eisenberg-thueringen;eisenberg;Eisenberg;
ellwangen-jagst;ellwangen;Ellwangen;
elmenhorst-lauenburg;elmenhorst;Elmenhorst;
elsdorf-koethen-anhalt;zoerbig;Zörbig;
emden-ostfriesland;emden;Emden;
erbach-odenwald;erbach-06437006;Erbach;
eschenbach-oberpfalz;eschenbach-in-der-oberpfalz;Eschenbach in der Oberpfalz;ja
essen-ruhr;essen;Essen;
forchheim-oberfanken;forchheim;Forchheim;
frankenthal-pfalz;frankenthal;Frankenthal;
freiberg-sachsen;freiberg;Freiberg;
friedberg-bayern;friedberg-09771130;Friedberg;
friedberg-hessen;friedberg;Friedberg;
fuerstenau-bramsche-hase;fuerstenau;Fürstenau;
fuerstenwalde-spree;fuerstenwalde;Fürstenwalde;
fuerth-bayern;fuerth-09563000;Fürth;
gaegelow-sternberg;gaegelow;Gägelow;
gehrden-zerbst;gehrden;Gehrden;
grafenau-niederbayern;grafenau;Grafenau;
gramzow-perleberg;gramzow;Gramzow;
