from_path;to_path;stadt
/zulassungsstelle/berlin-nebenstelle;/zulassungsstelle/berlin;Berlin
/zulassungsstelle/fuerstenfeldbruck-2;/zulassungsstelle/fuerstenfeldbruck;Fürstenfeldbruck
/zulassungsstelle/bad-hersfeld-2;/zulassungsstelle/bad-hersfeld;Bad Hersfeld
/zulassungsstelle/bautzen-2;/zulassungsstelle/bautzen;Bautzen
/zulassungsstelle/hohenwestedt-5;/zulassungsstelle/hohenwestedt;Hohenwestedt
/zulassungsstelle/hohenwestedt-4;/zulassungsstelle/hohenwestedt;Hohenwestedt
/zulassungsstelle/hohenwestedt-2;/zulassungsstelle/hohenwestedt;Hohenwestedt
/zulassungsstelle/gummersbach-2;/zulassungsstelle/gummersbach;Gummersbach
/zulassungsstelle/bruchsal-2;/zulassungsstelle/bruchsal;Bruchsal
/zulassungsstelle/euskirchen-2;/zulassungsstelle/euskirchen;Euskirchen
/zulassungsstelle/euskirchen-4;/zulassungsstelle/euskirchen;Euskirchen
/zulassungsstelle/euskirchen-3;/zulassungsstelle/euskirchen;Euskirchen
/zulassungsstelle/heilbronn-land;/zulassungsstelle/heilbronn;Heilbronn
/zulassungsstelle/stendal-land;/zulassungsstelle/stendal;Stendal
/zulassungsstelle/essen-nebenstelle;/zulassungsstelle/essen;Essen
/zulassungsstelle/essen-3;/zulassungsstelle/essen;Essen
/zulassungsstelle/essen-2;/zulassungsstelle/essen;Essen
/zulassungsstelle/wuppertal-2;/zulassungsstelle/wuppertal;Wuppertal
/zulassungsstelle/stuttgart-2;/zulassungsstelle/stuttgart;Stuttgart
/zulassungsstelle/wolfenbuettel-2;/zulassungsstelle/wolfenbuettel;Wolfenbüttel
/zulassungsstelle/mayen-koblenz;/zulassungsstelle/koblenz;Koblenz
/zulassungsstelle/bayreuth-2;/zulassungsstelle/bayreuth;Bayreuth
/zulassungsstelle/bad-salzuflen-2;/zulassungsstelle/bad-salzuflen;Bad Salzuflen
/zulassungsstelle/weinheim-land;/zulassungsstelle/weinheim;Weinheim
/zulassungsstelle/kassel-2;/zulassungsstelle/kassel;Kassel
/zulassungsstelle/duisburg-2;/zulassungsstelle/duisburg;Duisburg
/zulassungsstelle/ansbach-2;/zulassungsstelle/ansbach;Ansbach
/zulassungsstelle/ansbach-land;/zulassungsstelle/ansbach;Ansbach
/zulassungsstelle/gersthofen-land;/zulassungsstelle/gersthofen;Gersthofen
/zulassungsstelle/bad-kreuznach-2;/zulassungsstelle/bad-kreuznach;Bad Kreuznach
/zulassungsstelle/kirn-land;/zulassungsstelle/kirn;Kirn
/zulassungsstelle/baden-baden-2;/zulassungsstelle/baden-baden;Baden-Baden
/zulassungsstelle/bamberg-2;/zulassungsstelle/bamberg;Bamberg
/zulassungsstelle/bad-reichenhall-2;/zulassungsstelle/bad-reichenhall;Bad Reichenhall
/zulassungsstelle/overath-2;/zulassungsstelle/overath;Overath
/zulassungsstelle/roesrath-2;/zulassungsstelle/roesrath;Rösrath
/zulassungsstelle/leonberg-2;/zulassungsstelle/leonberg;Leonberg
/zulassungsstelle/bochum-2;/zulassungsstelle/bochum;Bochum
/zulassungsstelle/bonn-2;/zulassungsstelle/bonn;Bonn
/zulassungsstelle/bottrop-kirchhellen-2;/zulassungsstelle/bottrop-kirchhellen;Bottrop-Kirchhellen
/zulassungsstelle/bremerhaven-2;/zulassungsstelle/bremerhaven;Bremerhaven
/zulassungsstelle/bremerhaven-3;/zulassungsstelle/bremerhaven;Bremerhaven
/zulassungsstelle/cottbus-3;/zulassungsstelle/cottbus;Cottbus
/zulassungsstelle/cottbus-2;/zulassungsstelle/cottbus;Cottbus
/zulassungsstelle/dieburg-2;/zulassungsstelle/dieburg;Dieburg
/zulassungsstelle/pfungstadt-2;/zulassungsstelle/pfungstadt;Pfungstadt
/zulassungsstelle/ober-ramstadt-2;/zulassungsstelle/ober-ramstadt;Ober-Ramstadt
/zulassungsstelle/weiterstadt-2;/zulassungsstelle/weiterstadt;Weiterstadt
/zulassungsstelle/gross-umstadt-2;/zulassungsstelle/gross-umstadt;Groß-Umstadt
/zulassungsstelle/gross-umstadt-3;/zulassungsstelle/gross-umstadt;Groß-Umstadt
/zulassungsstelle/juelich-2;/zulassungsstelle/juelich;Jülich
/zulassungsstelle/erlangen-2;/zulassungsstelle/erlangen;Erlangen
/zulassungsstelle/annaberg-buchholz-2;/zulassungsstelle/annaberg-buchholz;Annaberg-Buchholz
/zulassungsstelle/forchheim-2;/zulassungsstelle/forchheim;Forchheim
/zulassungsstelle/frankenthal-pfalz-2;/zulassungsstelle/frankenthal-pfalz;Frankenthal (Pfalz)
/zulassungsstelle/freiburg-breisgau-land;/zulassungsstelle/freiburg-breisgau;Freiburg (Breisgau)
/zulassungsstelle/goerlitz-2;/zulassungsstelle/goerlitz;Görlitz
/zulassungsstelle/goerlitz-3;/zulassungsstelle/goerlitz;Görlitz
/zulassungsstelle/goettingen-land;/zulassungsstelle/goettingen;Göttingen
/zulassungsstelle/hannover-2;/zulassungsstelle/hannover;Hannover
/zulassungsstelle/hannover-3;/zulassungsstelle/hannover;Hannover
/zulassungsstelle/hildesheim-2;/zulassungsstelle/hildesheim;Hildesheim
/zulassungsstelle/hof-land-2;/zulassungsstelle/hof;Hof
/zulassungsstelle/hof-land;/zulassungsstelle/hof;Hof
/zulassungsstelle/jena-2;/zulassungsstelle/jena;Jena
/zulassungsstelle/kaiserslautern-land;/zulassungsstelle/kaiserslautern;Kaiserslautern
/zulassungsstelle/bretten-2;/zulassungsstelle/bretten;Bretten
/zulassungsstelle/karlsruhe-4;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-2;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-land;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-5;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-6;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-7;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-9;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-8;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-land-2;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/karlsruhe-3;/zulassungsstelle/karlsruhe;Karlsruhe
/zulassungsstelle/kelheim-2;/zulassungsstelle/kelheim;Kelheim
/zulassungsstelle/kleve-2;/zulassungsstelle/kleve;Kleve
/zulassungsstelle/lichtenfels-2;/zulassungsstelle/lichtenfels;Lichtenfels
/zulassungsstelle/schwerin-2;/zulassungsstelle/schwerin;Schwerin
/zulassungsstelle/luebeck-2;/zulassungsstelle/luebeck;Lübeck
/zulassungsstelle/luebeck-3;/zulassungsstelle/luebeck;Lübeck
/zulassungsstelle/luebeck-4;/zulassungsstelle/luebeck;Lübeck
/zulassungsstelle/luebeck-5;/zulassungsstelle/luebeck;Lübeck
/zulassungsstelle/luebeck-6;/zulassungsstelle/luebeck;Lübeck
/zulassungsstelle/luechow-2;/zulassungsstelle/luechow;Lüchow
/zulassungsstelle/lueneburg-2;/zulassungsstelle/lueneburg;Lüneburg
/zulassungsstelle/hanau-2;/zulassungsstelle/hanau;Hanau
/zulassungsstelle/hanau-3;/zulassungsstelle/hanau;Hanau
/zulassungsstelle/linsengericht-2;/zulassungsstelle/linsengericht;Linsengericht
/zulassungsstelle/memmingen-2;/zulassungsstelle/memmingen;Memmingen
/zulassungsstelle/memmingen-3;/zulassungsstelle/memmingen;Memmingen
/zulassungsstelle/luebbecke-2;/zulassungsstelle/luebbecke;Lübbecke
/zulassungsstelle/freiberg-3;/zulassungsstelle/freiberg;Freiberg
/zulassungsstelle/freiberg-2;/zulassungsstelle/freiberg;Freiberg
/zulassungsstelle/muelheim-an-der-ruhr-2;/zulassungsstelle/muelheim-an-der-ruhr;Mülheim an der Ruhr
/zulassungsstelle/muenster-2;/zulassungsstelle/muenster;Münster
/zulassungsstelle/neubrandenburg-2;/zulassungsstelle/neubrandenburg;Neubrandenburg
/zulassungsstelle/neubrandenburg-land;/zulassungsstelle/neubrandenburg;Neubrandenburg
/zulassungsstelle/neumuenster-2;/zulassungsstelle/neumuenster;Neumünster
/zulassungsstelle/neuwied-land-3;/zulassungsstelle/neuwied;Neuwied
/zulassungsstelle/neuwied-land;/zulassungsstelle/neuwied;Neuwied
/zulassungsstelle/neuwied-land-2;/zulassungsstelle/neuwied;Neuwied
/zulassungsstelle/oberhausen-3;/zulassungsstelle/oberhausen;Oberhausen
/zulassungsstelle/oberhausen-2;/zulassungsstelle/oberhausen;Oberhausen
/zulassungsstelle/calau-2;/zulassungsstelle/calau;Calau
/zulassungsstelle/calau-3;/zulassungsstelle/calau;Calau
/zulassungsstelle/lennestadt-2;/zulassungsstelle/lennestadt;Lennestadt
/zulassungsstelle/kehl-2;/zulassungsstelle/kehl;Kehl
/zulassungsstelle/wolfach-2;/zulassungsstelle/wolfach;Wolfach
/zulassungsstelle/osnabrueck-2;/zulassungsstelle/osnabrueck;Osnabrück
/zulassungsstelle/osnabrueck-3;/zulassungsstelle/osnabrueck;Osnabrück
/zulassungsstelle/georgsmarienhuette-2;/zulassungsstelle/georgsmarienhuette;Georgsmarienhütte
/zulassungsstelle/paderborn-2;/zulassungsstelle/paderborn;Paderborn
/zulassungsstelle/passau-2;/zulassungsstelle/passau;Passau
/zulassungsstelle/elmshorn-2;/zulassungsstelle/elmshorn;Elmshorn
/zulassungsstelle/pirmasens-2;/zulassungsstelle/pirmasens;Pirmasens
/zulassungsstelle/potsdam-2;/zulassungsstelle/potsdam;Potsdam
/zulassungsstelle/marl-2;/zulassungsstelle/marl;Marl
/zulassungsstelle/regensburg-land;/zulassungsstelle/regensburg;Regensburg
/zulassungsstelle/regensburg-2;/zulassungsstelle/regensburg;Regensburg
/zulassungsstelle/regensburg-3;/zulassungsstelle/regensburg;Regensburg
/zulassungsstelle/remscheid-2;/zulassungsstelle/remscheid;Remscheid
/zulassungsstelle/eckernfoerde-2;/zulassungsstelle/eckernfoerde;Eckernförde
/zulassungsstelle/reutlingen-2;/zulassungsstelle/reutlingen;Reutlingen
/zulassungsstelle/bergheim-2;/zulassungsstelle/bergheim;Bergheim
/zulassungsstelle/huerth-2;/zulassungsstelle/huerth;Hürth
/zulassungsstelle/huerth-3;/zulassungsstelle/huerth;Hürth
/zulassungsstelle/rosenheim-land-2;/zulassungsstelle/rosenheim;Rosenheim
/zulassungsstelle/rosenheim-2;/zulassungsstelle/rosenheim;Rosenheim
/zulassungsstelle/rosenheim-land;/zulassungsstelle/rosenheim;Rosenheim
/zulassungsstelle/rottweil-2;/zulassungsstelle/rottweil;Rottweil
/zulassungsstelle/eisenberg-2;/zulassungsstelle/eisenberg;Eisenberg
/zulassungsstelle/salzgitter-2;/zulassungsstelle/salzgitter;Salzgitter
/zulassungsstelle/oberviechtach-2;/zulassungsstelle/oberviechtach;Oberviechtach
/zulassungsstelle/schweinfurt-land;/zulassungsstelle/schweinfurt;Schweinfurt
/zulassungsstelle/bad-berleburg-2;/zulassungsstelle/bad-berleburg;Bad Berleburg
/zulassungsstelle/lippstadt-2;/zulassungsstelle/lippstadt;Lippstadt
/zulassungsstelle/speyer-2;/zulassungsstelle/speyer;Speyer
/zulassungsstelle/rheine-2;/zulassungsstelle/rheine;Rheine
/zulassungsstelle/stralsund-3;/zulassungsstelle/stralsund;Stralsund
/zulassungsstelle/stralsund-land;/zulassungsstelle/stralsund;Stralsund
/zulassungsstelle/stralsund-2;/zulassungsstelle/stralsund;Stralsund
/zulassungsstelle/straubing-2;/zulassungsstelle/straubing;Straubing
/zulassungsstelle/tirschenreuth-2;/zulassungsstelle/tirschenreuth;Tirschenreuth
/zulassungsstelle/tirschenreuth-3;/zulassungsstelle/tirschenreuth;Tirschenreuth
/zulassungsstelle/voelklingen-2;/zulassungsstelle/voelklingen;Völklingen
/zulassungsstelle/waldshut-tiengen-2;/zulassungsstelle/waldshut-tiengen;Waldshut-Tiengen
/zulassungsstelle/friedberg-2;/zulassungsstelle/friedberg;Friedberg
/zulassungsstelle/buedingen-2;/zulassungsstelle/buedingen;Büdingen
/zulassungsstelle/wittmund-2;/zulassungsstelle/wittmund;Wittmund
/zulassungsstelle/wolfsburg-2;/zulassungsstelle/wolfsburg;Wolfsburg
/zulassungsstelle/wolfsburg-3;/zulassungsstelle/wolfsburg;Wolfsburg
/zulassungsstelle/worms-3;/zulassungsstelle/worms;Worms
/zulassungsstelle/worms-2;/zulassungsstelle/worms;Worms
/zulassungsstelle/wuerzburg-land;/zulassungsstelle/wuerzburg;Würzburg
/zulassungsstelle/alsfeld-2;/zulassungsstelle/alsfeld;Alsfeld
/zulassungsstelle/alzenau-2;/zulassungsstelle/alzenau;Alzenau
/zulassungsstelle/anklam-2;/zulassungsstelle/anklam;Anklam
/zulassungsstelle/arnstadt-2;/zulassungsstelle/arnstadt;Arnstadt
/zulassungsstelle/augsburg-2;/zulassungsstelle/augsburg;Augsburg
/zulassungsstelle/augsburg-3;/zulassungsstelle/augsburg;Augsburg
/zulassungsstelle/augsburg-land;/zulassungsstelle/augsburg;Augsburg
/zulassungsstelle/bad-kissingen-2;/zulassungsstelle/bad-kissingen;Bad Kissingen
/zulassungsstelle/bad-waldsee-2;/zulassungsstelle/bad-waldsee;Bad Waldsee
/zulassungsstelle/bad-wildungen-2;/zulassungsstelle/bad-wildungen;Bad Wildungen
/zulassungsstelle/bad-windsheim-2;/zulassungsstelle/bad-windsheim;Bad Windsheim
/zulassungsstelle/bergen-auf-ruegen-2;/zulassungsstelle/bergen-auf-ruegen;Bergen auf Rügen
/zulassungsstelle/bernburg-saale-2;/zulassungsstelle/bernburg-saale;Bernburg (Saale)
/zulassungsstelle/bernkastel-kues-2;/zulassungsstelle/bernkastel-kues;Bernkastel-Kues
/zulassungsstelle/biedenkopf-2;/zulassungsstelle/biedenkopf;Biedenkopf
/zulassungsstelle/birkenfeld-2;/zulassungsstelle/birkenfeld;Birkenfeld
/zulassungsstelle/bopfingen-2;/zulassungsstelle/bopfingen;Bopfingen
/zulassungsstelle/bremen-2;/zulassungsstelle/bremen;Bremen
/zulassungsstelle/burg-2;/zulassungsstelle/burg;Burg
/zulassungsstelle/calw-2;/zulassungsstelle/calw;Calw
/zulassungsstelle/cuxhaven-2;/zulassungsstelle/cuxhaven;Cuxhaven
/zulassungsstelle/darmstadt-2;/zulassungsstelle/darmstadt;Darmstadt
/zulassungsstelle/darmstadt-3;/zulassungsstelle/darmstadt;Darmstadt
/zulassungsstelle/demmin-2;/zulassungsstelle/demmin;Demmin
/zulassungsstelle/diepholz-2;/zulassungsstelle/diepholz;Diepholz
/zulassungsstelle/eggenfelden-2;/zulassungsstelle/eggenfelden;Eggenfelden
/zulassungsstelle/eichstaett-2;/zulassungsstelle/eichstaett;Eichstätt
/zulassungsstelle/emlichheim-2;/zulassungsstelle/emlichheim;Emlichheim
/zulassungsstelle/erfurt-2;/zulassungsstelle/erfurt;Erfurt
/zulassungsstelle/eschwege-2;/zulassungsstelle/eschwege;Eschwege
/zulassungsstelle/frankenberg-eder-2;/zulassungsstelle/frankenberg-eder;Frankenberg (Eder)
/zulassungsstelle/freiburg-im-breisgau-2;/zulassungsstelle/freiburg-im-breisgau;Freiburg im Breisgau
/zulassungsstelle/freital-2;/zulassungsstelle/freital;Freital
/zulassungsstelle/friesoythe-2;/zulassungsstelle/friesoythe;Friesoythe
/zulassungsstelle/fuessen-land;/zulassungsstelle/fuessen;Füssen
/zulassungsstelle/gaggenau-2;/zulassungsstelle/gaggenau;Gaggenau
/zulassungsstelle/ganderkesee-2;/zulassungsstelle/ganderkesee;Ganderkesee
/zulassungsstelle/gardelegen-2;/zulassungsstelle/gardelegen;Gardelegen
/zulassungsstelle/guestrow-2;/zulassungsstelle/guestrow;Güstrow
/zulassungsstelle/hagenow-2;/zulassungsstelle/hagenow;Hagenow
